"Run","cycle","Virulence","Cheat","Spite","MigrationRate","SubpopCarryingCapacity","CheatFreq","SpiteFreq"
0,1,0,0,0,0.03125,9,0,0
0,11,0,0,0,0.03125,9,0,0
0,21,0,0,0,0.03125,9,0,0
0,21,0,0,0,0.03125,9,0,0
1,1,0,0,0,0.0625,9,0,0
1,11,0,0,0,0.0625,9,0,0
1,21,0,0,0,0.0625,9,0,0
1,21,0,0,0,0.0625,9,0,0
10,1,0,0,0,0.125,81,0,0
10,11,0,0,0,0.125,81,0,0
10,21,0,0,0,0.125,81,0,0
10,21,0,0,0,0.125,81,0,0
100,1,1,1,0,0.03125,27,0,0
100,11,1,1,0,0.03125,27,0,0
100,21,1,1,0,0.03125,27,0.0350877,0
100,31,1,1,0,0.03125,27,0,0
100,31,1,1,0,0.03125,27,0,0
1000,1,1,1,0,0.03125,81,0,0
1000,11,1,1,0,0.03125,81,0,0
1000,21,1,1,0,0.03125,81,0.135965,0
1000,31,1,1,0,0.03125,81,0.240964,0
1000,41,1,1,0,0.03125,81,0.0421053,0
1000,51,1,1,0,0.03125,81,0,0
1000,51,1,1,0,0.03125,81,0,0
1001,1,1,1,0,0.0625,81,0,0
1001,11,1,1,0,0.0625,81,0,0
1001,21,1,1,0,0.0625,81,0.0985222,0
1001,31,1,1,0,0.0625,81,0,0
1001,31,1,1,0,0.0625,81,0,0
1002,1,1,1,0,0.125,81,0,0
1002,11,1,1,0,0.125,81,0,0
1002,21,1,1,0,0.125,81,0.0836653,0
1002,31,1,1,0,0.125,81,0.0892857,0
1002,41,1,1,0,0.125,81,0,0
1002,41,1,1,0,0.125,81,0,0
1003,1,1,1,0,0.25,81,0,0
1003,11,1,1,0,0.25,81,0,0
1003,21,1,1,0,0.25,81,0.0889328,0
1003,31,1,1,0,0.25,81,0.163793,0
1003,41,1,1,0,0.25,81,0.173432,0
1003,51,1,1,0,0.25,81,0.273632,0
1003,61,1,1,0,0.25,81,0.321212,0
1003,71,1,1,0,0.25,81,0.282828,0
1003,81,1,1,0,0.25,81,0.303957,0
1003,91,1,1,0,0.25,81,0.540909,0
1003,101,1,1,0,0.25,81,0.725689,0
1003,111,1,1,0,0.25,81,0.754747,0
1003,121,1,1,0,0.25,81,0.703382,0
1003,131,1,1,0,0.25,81,0.773693,0
1003,141,1,1,0,0.25,81,0.811228,0
1003,151,1,1,0,0.25,81,0.838018,0
1003,161,1,1,0,0.25,81,0.836188,0
1003,171,1,1,0,0.25,81,0.915761,0
1003,181,1,1,0,0.25,81,0.915094,0
1003,191,1,1,0,0.25,81,0.942424,0
1003,201,1,1,0,0.25,81,0.955692,0
1003,201,1,1,0,0.25,81,0.955692,0
1004,1,1,1,0,0.03125,243,0,0
1004,11,1,1,0,0.03125,243,0,0
1004,21,1,1,0,0.03125,243,0.144531,0
1004,31,1,1,0,0.03125,243,0.212766,0
1004,41,1,1,0,0.03125,243,0.334711,0
1004,51,1,1,0,0.03125,243,0.479021,0
1004,61,1,1,0,0.03125,243,0.672794,0
1004,71,1,1,0,0.03125,243,0.797909,0
1004,81,1,1,0,0.03125,243,0.866667,0
1004,91,1,1,0,0.03125,243,0.925072,0
1004,101,1,1,0,0.03125,243,0.91863,0
1004,111,1,1,0,0.03125,243,0.918367,0
1004,121,1,1,0,0.03125,243,0.943137,0
1004,131,1,1,0,0.03125,243,0.950893,0
1004,131,1,1,0,0.03125,243,0.950893,0
1005,1,1,1,0,0.0625,243,0,0
